Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Philip K. Dick,A Scanner Darkly,1857988477,9781857988475,OL2172433W,A Scanner Darkly,Philip K. Dick,173678be-f3e6-424c-a2a1-fea9fb18d665
Octavia E. Butler,Kindred,,9780807083697,OL35616W,Kindred,Octavia E. Butler,2a404c68-dbba-47ae-9c8c-fe137ce26b3a
Ursula K. Le Guin,The Lathe of Heaven,60512741,,OL59858W,The Lathe of Heaven,Ursula K. Le Guin,be21c17b-5baf-4d4a-b071-908c2eb87ddd
Mary Doria Russell,The Sparrow,1567401929,9781567401929,OL2732491W,The Sparrow,Mary Doria Russell,d28a3a67-6288-447c-ac5c-c01f071cdf28
Alfred Bester,The Stars My Destination,1857988140,9781857988147,OL1819353W,The Stars My Destination,Alfred Bester,aebee7d7-54af-4e6d-b94b-0c741f0a4a1c
Michael Crichton,Timeline,679444815,9780679444817,OL46884W,Timeline,Michael Crichton,47fff12c-f8a7-4cb0-a0a9-2cde264344e5
Vernor Vinge,A Fire Upon the Deep,765329824,9780765329820,OL1975714W,A Fire Upon the Deep,Vernor Vinge,af2dc952-0ce0-4528-be29-f274e685ebe5
Kurt Vonnegut Jr.,The Sirens of Titan,736601139,9780736601139,OL98485W,The Sirens of Titan,Kurt Vonnegut,136e4a6d-1834-4c58-8bac-e5404599c28c
Ray Bradbury,The Illustrated Man,380973847,,OL103128W,The Illustrated Man,Ray Bradbury,58d55341-ce8b-46ba-a0ae-d651995d5ad2
Isaac Asimov,The Naked Sun,449242439,,OL46398W,The Naked Sun,Isaac Asimov,357bab8c-b0be-43de-b980-a8e9b528033c
Iain M. Banks,The Player of Games,61053562,,OL100779W,The Player of Games,Iain M. Banks,2f403b21-4963-4002-81d3-590fb1085bd0
C.S. Lewis,Out of the Silent Planet,20868804,,OL71166W,Out of the Silent Planet,C.S. Lewis,e1e0186b-6138-4f42-8d10-ea42d2fa924f
Isaac Asimov,The Gods Themselves,,9788804406839,OL46395W,The Gods Themselves,Isaac Asimov,4bed4fe9-de1b-43e0-82f8-ebd513accf41
Octavia E. Butler,Parable of the Sower,141975405X,9781419754050,OL35623W,Parable of the Sower,Octavia E. Butler,0385c0cd-3efa-4037-8635-a9f4a4386942
Larry Niven & Jerry Pournelle,The Mote in God's Eye,671741926,9780671741921,OL15331302W,The Mote in God's Eye,"Larry Niven, Jerry Pournelle",c791e039-a520-4505-98bc-8748bd560495
Neal Stephenson,Cryptonomicon,,9780060575502,OL38494W,Cryptonomicon,Neal Stephenson,dd09982f-c219-479a-a8f5-32c92eef445d
Isaac Asimov,The Robots of Dawn,7270410,9780007270415,OL46377W,The Robots of Dawn,Isaac Asimov,4be8aa01-d914-44e5-97e7-08eb1acd5183
Arthur C. Clarke,2010: Odyssey Two,345303059,,OL17391W,2010: Odyssey Two,Arthur C. Clarke,7104427d-c3b2-4184-895b-57cd2e14723d
Lois McMaster Bujold,Shards of Honour,1886778205,9781886778207,OL56899W,Shards of Honour,Lois McMaster Bujold,db6e7e96-596e-4aac-802a-7b71c0e1db05
Edgar Rice Burroughs,A Princess of Mars,345331389,9780345331380,OL1418187W,A Princess of Mars,Edgar Rice Burroughs,f01607ba-5120-4d54-ad28-4084cd9348e7
Yevgeny Zamyatin,We,,,OL10215W,We,Yevgeny Zamyatin,ecd60644-45bd-4f58-a190-ffaeb3fb0d16
Arkady & Boris Strugatsky,Roadside Picnic,1613743416,9781613743416,OL7967812W,Roadside Picnic,"Arkady Strugatsky, Boris Strugatsky",b8e9bd9b-02d7-40cf-aa29-85af64c18292
Isaac Asimov,The End of Eternity,7539957174,9787539957173,OL46108W,The End of Eternity,Isaac Asimov,be122b37-1e47-4b16-83cb-a547dc3e699f
David Weber,On Basilisk Station,1416509372,9781416509370,OL80028W,On Basilisk Station,David Weber,7942b2d0-7a75-45d3-aa44-2796e633ed69
Octavia E. Butler,Dawn,445207795,9780445207790,OL35628W,Dawn,Octavia E. Butler,8aacb436-cd64-4df5-8fc1-f67fe85dfabf
Connie Willis,To Say Nothing of the Dog,2290324914,9782290324912,OL14858392W,To Say Nothing of the Dog,Connie Willis,6faf1e9a-ca0a-4705-a302-e548142a6734
Richard Matheson,I Am Legend,1857988094,9781857988093,OL11374287W,I Am Legend,Richard Matheson,073d9863-5dfa-40a5-abfd-09b9829a385a
Iain M. Banks,Use of Weapons,316030570,9780316030571,OL8996532W,Use of Weapons,Iain M. Banks,52de59a2-cce7-4f92-9aa7-9f848cc71b97
Frederik Pohl,Gateway,312317808,,OL60924W,Gateway,Frederik Pohl,9c442036-9dbf-41df-b331-b2fad138985a
Alfred Bester,The Demolished Man,067182046X,9780671820466,OL16027965W,The Demolished Man,Alfred Bester,22949400-6eb9-4879-bc51-8153ba1ba13e
Kim Stanley Robinson,Green Mars,553572393,9780553572391,OL81655W,Green Mars,Kim Stanley Robinson,ef7cc1a4-414a-44cc-be1c-69f3c44be0ff
Arthur C. Clarke,The City and the Stars,1567231608,9781567231601,OL17400W,The City and the Stars,Arthur C. Clarke,9ad88263-a25e-44be-9518-2952f8c398a1
C.S. Lewis,Perelandra,25708406,9780025708402,OL71163W,Perelandra,C.S. Lewis,93e78efd-a5e7-4236-8ff0-2bce37c7a598
