Author,Title
Nnedi Okorafor,Binti
Neal Stephenson,Seveneves
Brandon Sanderson,Skyward
Paolo Bacigalupi,The Windup Girl
Ted Chiang,Exhalation
Alastair Reynolds,Revelation Space
Dennis E. Taylor,We Are Legion (We Are Bob)
John Scalzi,Lock In
Ernest Cline,Armada
John Scalzi,The Collapsing Empire
Neal Stephenson,Anathem
Becky Chambers,"To Be Taught, If Fortunate"
Peter Watts,Blindsight
Peter F. Hamilton,Pandora's Star
John Scalzi,The Kaiju Preservation Society
Robert Charles Wilson,Spin
Pratchett & Baxter,The Long Earth
Matt Haig,The Humans
Blake Crouch,Upgrade
Micaiah Johnson,The Space Between Worlds
Michael Crichton,Prey
Amie Kaufman & Meagan Spooner,These Broken Stars
China Miéville,Embassytown
Yoon Ha Lee,Ninefox Gambit
Jeff VanderMeer,Borne
Daniel H. Wilson,Robopocalypse
Hannu Rajaniemi,The Quantum Thief
Dan Simmons,Ilium
Jack Campbell,Dauntless
Connie Willis,Blackout
Everina Maxwell,Winter's Orbit
Dmitry Glukhovsky,Metro 2033
Kim Stanley Robinson,Aurora
Mur Lafferty,Six Wakes
William Gibson,Pattern Recognition
Alastair Reynolds,Chasm City
Kim Stanley Robinson,2312
William Gibson,The Peripheral
Ann Leckie,Provenance
Peter F. Hamilton,The Dreaming Void
Daniel Suarez,Daemon
Sarah Gailey,The Echo Wife
Rachel Bach,Fortune's Pawn
Jodi Taylor,Just One Damned Thing After Another
Iain M. Banks,The Algebraist
Kim Stanley Robinson,The Ministry for the Future
Catherynne M. Valente,Space Opera
Alastair Reynolds,Pushing Ice
John Scalzi,The Android's Dream
Ann Aguirre,Grimspace
Charles Stross,Accelerando
Charles Yu,How to Live Safely in a Sci-Fi Universe
Michael Crichton,Next
B. Herbert & K.J. Anderson,The Butlerian Jihad
Kass Morgan,The 100
Shaun David Hutchinson,We Are the Ants
Sue Burke,Semiosis
Elan Mastai,All Our Wrong Todays
Neal Stephenson,Readme
Vernor Vinge,Rainbows End
Charles Stross,The Atrocity Archives
Marko Kloos,Terms of Enlistment
Kim Stanley Robinson,New York 2140
Peter F. Hamilton,Great North Road
Edward Ashton,Mickey7
Kameron Hurley,The Stars Are Legion
Charles Stross,Singularity Sky
Yume Kitasei,The Deep Sky
Jessie Mihalik,Polaris Rising
Alastair Reynolds,Blue Remembered Earth
Alastair Reynolds,Revenger
Neal Asher,Gridlinked
Eric S. Nylund,Halo: The Fall of Reach
David Weber,Off Armageddon Reef
Elizabeth Moon,The Speed of Dark
Peter F. Hamilton,Fallen Dragon
Craig Alanson,Columbus Day
