Author,Title,ISBN-10,ISBN-13,OpenLibrary Work ID
John Wyndham,The Chrysalids,0140013083,,OL1911334W
Roger Zelazny,Lord of Light,0060567236,,OL13992W
Peter F. Hamilton,The Reality Dysfunction,3404232216,9783404232215,OL474017W
Isaac Asimov & Robert Silverberg,Nightfall,0385263414,,OL46374W
Edwin A. Abbott,Flatland: A Romance of Many Dimensions,,9781456506605,OL37818086W
David Brin,Sundiver,0785787224,9780785787228,OL58711W
Lois McMaster Bujold,Barrayar,2290313157,9782290313152,OL56905W
Larry Niven & Jerry Pournelle,Lucifer's Hammer,0872234878,,OL510435W
William Gibson,Burning Chrome,0060539828,,OL27254W
Isaac Asimov,Pebble in the Sky,,9780593160084,OL46402W
David Brin,Startide Rising,055327418X,9780553274189,OL58710W
Arthur C. Clarke,The Fountains of Paradise,0345253566,9780345253569,OL17403W
Philip José Farmer,To Your Scattered Bodies Go,0586039392,9780586039397,OL273080W
David Brin,The Postman,1567405649,9781567405644,OL58708W
Robert A. Heinlein,Time Enough for Love,0739419447,9780739419441,OL59739W
Robert A. Heinlein,Have Space Suit—Will Travel,,9780450038549,OL39145951W
Ursula K. Le Guin,The Word for World is Forest,8445070584,9788445070581,OL59797W
Lois McMaster Bujold,The Vor Game,0671720147,9780671720148,OL56909W
Iain M. Banks,Excession,849502411X,9788495024114,OL8368435W
Isaac Asimov,"The Stars, Like Dust",,9780008516277,OL46399W
Clifford D. Simak,Way Station,0020248717,,OL4088396W
Greg Bear,Eon,0812520475,9780812520477,OL16518W
Robert A. Heinlein,The Door Into Summer,0345413997,9780345413994,OL59733W
Robert A. Heinlein,The Puppet Masters,,9780795330988,OL59729W
Robert A. Heinlein,Friday,034530988X,,OL59706W
Pierre Boulle,Planet of the Apes (aka Monkey Planet),,,
Philip K. Dick,VALIS,0553141562,9780553141566,OL2172524W
Samuel R. Delany,Babel-17,0375706690,,OL56834W
P.D. James,The Children of Men,3502518270,9783502518273,OL510890W
Theodore Sturgeon,More Than Human,0824014383,,OL14868317W
John Brunner,Stand on Zanzibar,1857988361,9781857988369,OL3521966W
Arthur Conan Doyle,The Lost World,,9789963475292,OL262460W
Anne McCaffrey,The Ship Who Sang,0345334310,9780345334312,OL73367W
Lois McMaster Bujold,Memory,0671877437,,OL56889W
